index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type,,,player,play_pattern,type,combination,Area on the pitch 
161,05:30.8,5,30,Denmark,Kasper Schmeichel,From Throw In,Carry,9,,,,Kasper Schmeichel,From Throw In,Carry,,
162,05:31.6,5,31,Denmark,Kasper Schmeichel,From Throw In,Pass,9,,,,Kasper Schmeichel,From Throw In,Pass,,
163,05:35.9,5,35,Denmark,Andreas Evald Cornelius,From Throw In,Ball Receipt*,9,,,,Andreas Evald Cornelius,From Throw In,Ball Receipt*,,
164,05:35.9,5,35,Denmark,Andreas Evald Cornelius,From Throw In,Carry,9,,,,Andreas Evald Cornelius,From Throw In,Carry,,
165,05:35.9,5,35,Denmark,Andreas Evald Cornelius,From Throw In,Foul Committed,9,,,,Andreas Evald Cornelius,From Throw In,Foul Committed,,
166,05:35.9,5,35,Croatia,Dejan Lovren,From Throw In,Foul Won,9,,,,Dejan Lovren,From Throw In,Foul Won,,
167,05:49.1,5,49,Croatia,Dejan Lovren,From Free Kick,Pass,10,,,,Dejan Lovren,From Free Kick,Pass,,
168,05:49.7,5,49,Croatia,Marcelo Brozović,From Free Kick,Ball Receipt*,10,,,,Marcelo Brozović,From Free Kick,Ball Receipt*,,
169,05:49.7,5,49,Croatia,Marcelo Brozović,From Free Kick,Carry,10,,,,Marcelo Brozović,From Free Kick,Carry,,
170,05:50.2,5,50,Croatia,Marcelo Brozović,From Free Kick,Pass,10,,,,Marcelo Brozović,From Free Kick,Pass,,
171,05:51.4,5,51,Croatia,Luka Modrić,From Free Kick,Ball Receipt*,10,,,,Luka Modrić,From Free Kick,Ball Receipt*,,
172,05:51.4,5,51,Croatia,Luka Modrić,From Free Kick,Carry,10,,,,Luka Modrić,From Free Kick,Carry,,
173,05:52.4,5,52,Croatia,Luka Modrić,From Free Kick,Pass,10,,,,Luka Modrić,From Free Kick,Pass,,
174,05:53.6,5,53,Croatia,Dejan Lovren,From Free Kick,Ball Receipt*,10,,,,Dejan Lovren,From Free Kick,Ball Receipt*,,
175,05:53.6,5,53,Croatia,Dejan Lovren,From Free Kick,Carry,10,,,,Dejan Lovren,From Free Kick,Carry,,
176,05:54.6,5,54,Croatia,Dejan Lovren,From Free Kick,Pass,10,,,,Dejan Lovren,From Free Kick,Pass,,
177,05:55.8,5,55,Croatia,Domagoj Vida,From Free Kick,Ball Receipt*,10,,,,Domagoj Vida,From Free Kick,Ball Receipt*,,
178,05:55.8,5,55,Croatia,Domagoj Vida,From Free Kick,Carry,10,,,,Domagoj Vida,From Free Kick,Carry,,
179,05:56.6,5,56,Croatia,Domagoj Vida,From Free Kick,Pass,10,,,,Domagoj Vida,From Free Kick,Pass,,
180,05:58.2,5,58,Croatia,Ivan Strinić,From Free Kick,Ball Receipt*,10,,,,Ivan Strinić,From Free Kick,Ball Receipt*,,
181,05:58.2,5,58,Croatia,Ivan Strinić,From Free Kick,Carry,10,,,,Ivan Strinić,From Free Kick,Carry,,
182,05:58.8,5,58,Denmark,Yussuf Yurary Poulsen,From Free Kick,Pressure,10,,,,Yussuf Yurary Poulsen,From Free Kick,Pressure,,
183,06:00.4,6,0,Croatia,Ivan Strinić,From Free Kick,Pass,10,,,,Ivan Strinić,From Free Kick,Pass,,
184,06:02.0,6,2,Croatia,Domagoj Vida,From Free Kick,Ball Receipt*,10,,,,Domagoj Vida,From Free Kick,Ball Receipt*,,
185,06:02.0,6,2,Croatia,Domagoj Vida,From Free Kick,Carry,10,,,,Domagoj Vida,From Free Kick,Carry,,
186,06:04.5,6,4,Croatia,Domagoj Vida,From Free Kick,Pass,10,,,,Domagoj Vida,From Free Kick,Pass,,
187,06:05.4,6,5,Croatia,Ivan Rakitić,From Free Kick,Ball Receipt*,10,,,,Ivan Rakitić,From Free Kick,Ball Receipt*,,
188,06:05.4,6,5,Croatia,Ivan Rakitić,From Free Kick,Pass,10,,,,Ivan Rakitić,From Free Kick,Pass,,
189,06:06.9,6,6,Croatia,Domagoj Vida,From Free Kick,Ball Receipt*,10,,,,Domagoj Vida,From Free Kick,Ball Receipt*,,
190,06:06.9,6,6,Croatia,Domagoj Vida,From Free Kick,Carry,10,,,,Domagoj Vida,From Free Kick,Carry,,
191,06:09.6,6,9,Croatia,Domagoj Vida,From Free Kick,Pass,10,,,,Domagoj Vida,From Free Kick,Pass,,
192,06:10.5,6,10,Croatia,Ivan Rakitić,From Free Kick,Ball Receipt*,10,,,,Ivan Rakitić,From Free Kick,Ball Receipt*,,
193,06:10.5,6,10,Croatia,Ivan Rakitić,From Free Kick,Carry,10,,,,Ivan Rakitić,From Free Kick,Carry,,
194,06:13.1,6,13,Croatia,Ivan Rakitić,From Free Kick,Pass,10,,,,Ivan Rakitić,From Free Kick,Pass,,
195,06:15.1,6,15,Denmark,Thomas Delaney,From Free Kick,Pressure,10,,,,Thomas Delaney,From Free Kick,Pressure,,
196,06:15.2,6,15,Croatia,Luka Modrić,From Free Kick,Ball Receipt*,10,,,,Luka Modrić,From Free Kick,Ball Receipt*,,
197,06:15.2,6,15,Croatia,Luka Modrić,From Free Kick,Carry,10,,,,Luka Modrić,From Free Kick,Carry,,
198,06:17.8,6,17,Croatia,Luka Modrić,From Free Kick,Pass,10,,,,Luka Modrić,From Free Kick,Pass,,
